Processed 5mlq, DockQ: 0.133
Processed 5nl6, DockQ: 0.092
Processed 5od9, DockQ: 0.296
Processed 5ow2, DockQ: 0.09
Processed 5oxz, DockQ: 0.101
Processed 5w4a, DockQ: 0.203
Processed 5w6l, DockQ: 0.13
Processed 5wb4, DockQ: 0.139
Processed 5wd6, DockQ: 0.191
Processed 5wec, DockQ: 0.173
Processed 5wez, DockQ: 0.076
Processed 5xll, DockQ: 0.216
Processed 5xor, DockQ: 0.164
Processed 5xp0, DockQ: 0.171
Processed 5xqz, DockQ: 0.146
Processed 5xua, DockQ: 0.149
Processed 5xvj, DockQ: 0.205
Processed 5xwe, DockQ: 0.1
Processed 5xyb, DockQ: 0.096
Processed 5y0t, DockQ: 0.153
Processed 5y2z, DockQ: 0.135
Processed 5y4g, DockQ: 0.223
Processed 5y7d, DockQ: 0.114
Processed 5ya6, DockQ: 0.194
Processed 5yad, DockQ: 0.223
Processed 5ycz, DockQ: 0.163
Processed 5ydd, DockQ: 0.154
Processed 5yek, DockQ: 0.282
Processed 5yet, DockQ: 0.114
Processed 5yeu, DockQ: 0.114
Processed 5yjc, DockQ: 0.187
Processed 5ykz, DockQ: 0.176
Processed 5yo8, DockQ: 0.225
Processed 5yox, DockQ: 0.133
Processed 5yr0, DockQ: 0.229
Processed 5ytq, DockQ: 0.195
Processed 5yug, DockQ: 0.157
Processed 5yvj, DockQ: 0.152
Processed 5ywr, DockQ: 0.027
Processed 5yz1, DockQ: 0.216
Processed 5z2h, DockQ: 0.083
Processed 5z51, DockQ: 0.105
Processed 5z5k, DockQ: 0.227
Failed to retrieve DockQ score for 5z5o
Skipping 5z5o due to errors.
Processed 5z8b, DockQ: 0.189
Processed 5ze7, DockQ: 0.121
Processed 5zes, DockQ: 0.136
Processed 5zfk, DockQ: 0.178
Processed 5zh8, DockQ: 0.183
Processed 5zi6, DockQ: 0.125
Processed 5zke, DockQ: 0.184
Processed 5zkt, DockQ: 0.172
Processed 5zle, DockQ: 0.114
Processed 5zmu, DockQ: 0.214
Processed 5zne, DockQ: 0.156
Processed 5znm, DockQ: 0.119
Processed 5zq3, DockQ: 0.097
Processed 5ztm, DockQ: 0.258
Processed 6a0n, DockQ: 0.195
Processed 6a27, DockQ: 0.172
Processed 6a29, DockQ: 0.099
Processed 6a2u, DockQ: 0.151
Processed 6a2w, DockQ: 0.129
Processed 6a4t, DockQ: 0.188
Processed 6a4v, DockQ: 0.135
Processed 6a56, DockQ: 0.182
Processed 6a57, DockQ: 0.25
Processed 6a6i, DockQ: 0.179
Processed 6a7s, DockQ: 0.112
Processed 6a7t, DockQ: 0.121
Processed 6abr, DockQ: 0.118
Processed 6abs, DockQ: 0.174
Processed 6ae8, DockQ: 0.051
Processed 6ae9, DockQ: 0.1
Processed 6ahp, DockQ: 0.147
Processed 6ahw, DockQ: 0.193
Processed 6aik, DockQ: 0.098
Processed 6ak3, DockQ: 0.165
Processed 6al9, DockQ: 0.121
Processed 6arq, DockQ: 0.217
